X,Y,FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,SHORT_NAME,ORGANIZATION
-8224264.688,4994669.4404,320,15310466,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,111 E 210TH ST,BRONX,NY,10466,NOT AVAILABLE,(718) 920-4321,GENERAL ACUTE CARE,OPEN,779,BRONX,36005,USA,40.880079256,-73.879826699,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.montefiore.org,7000006H,NOT AVAILABLE,36,NON-PROFIT,-999,779,NOT AVAILABLE,N,MONTEFIORE MEDICAL CENTER - MOSES D,Montefiore Health System
-8225548.8894,4990637.5472,350,116910457,SAINT BARNABAS HOSPITAL HEALTH SYSTEM,4422 THIRD AVENUE,BRONX,NY,10457,NOT AVAILABLE,(718) 960-9000,GENERAL ACUTE CARE,OPEN,461,BRONX,36005,USA,40.852689006,-73.891362876,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,http://www.sbhny.org/st-barnabas-hospital,7000014H,NOT AVAILABLE,36,NON-PROFIT,-999,461,LEVEL II,N,SAINT BARNABAS HOSPITAL HEALTH SYST,SBH Health System
-8220667.4486,4991168.7546,330,15210036,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10036,NOT AVAILABLE,(212) 430-5235,GENERAL ACUTE CARE,OPEN,457,BRONX,36005,USA,40.8562983570001,-73.847512147,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.nyc.gov/html/hhc/jacobi/home.html,7000002H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,457,"LEVEL I, LEVEL II PEDIATRIC",Y,JACOBI MEDICAL CENTER,NYC Health + Hospitals
-8220486.8964,4990225.5054,2920,118110461,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,1825 EASTCHESTER RD,BRONX,NY,10461,NOT AVAILABLE,(718) 904-2000,GENERAL ACUTE CARE,OPEN,421,BRONX,36005,USA,40.8498892050001,-73.845890219,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/05/12 00:00:00,http://www.montefiore.org/,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,421,NOT AVAILABLE,N,MONTEFIORE MED CENTER - JACK D WEIL,Montefiore Health System
-8227751.2419,4989284.1864,6181,114210457,BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,1650 GRAND CONCOURSE,BRONX,NY,10457,NOT AVAILABLE,(718) 901-8800,GENERAL ACUTE CARE,OPEN,415,BRONX,36005,USA,40.8434925500001,-73.911146945,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,http://www.bronxcare.org,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,415,NOT AVAILABLE,N,BRONX-LEBANON HOSPITAL CENTER - CON,BronxCare Health System
-8229223.966,4985412.0172,5884,15710451,LINCOLN HOSPITAL,234 E 149TH ST,BRONX,NY,10451,NOT AVAILABLE,(212) 579-4900,GENERAL ACUTE CARE,OPEN,362,BRONX,36005,USA,40.817173053,-73.924376651,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/01/03 00:00:00,http://www.nyc.gov/html/hhc/lincoln/,1172,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,362,LEVEL I,N,LINCOLN HOSPITAL,NYC Health + Hospitals
-8222190.1925,4996674.6425,358,118510466,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,600 EAST 233RD STREET,BRONX,NY,10466,NOT AVAILABLE,(718) 920-9000,GENERAL ACUTE CARE,OPEN,325,BRONX,36005,USA,40.893697171,-73.861191189,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/05/12 00:00:00,http://www.montefiore.org/,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,325,NOT AVAILABLE,N,MONTEFIORE MEDICAL CENTER-WAKEFIELD,Montefiore Health System
-8224401.6563,4994711.5997,322,15610467,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,BRONX,NY,10467,NOT AVAILABLE,(718) 519-5000,GENERAL ACUTE CARE,OPEN,213,BRONX,36005,USA,40.8803656010001,-73.881057106,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/01/02 00:00:00,http://www.nyc.gov/html/hhc/ncbh/html/home/home.shtml,7000024H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,213,NOT AVAILABLE,N,NORTH CENTRAL BRONX HOSPITAL,NYC Health + Hospitals
-8226961.991,4987551.2321,6170,15010456,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,1276 FULTON AVE,BRONX,NY,10456,NOT AVAILABLE,(718) 409-7742,GENERAL ACUTE CARE,OPEN,164,BRONX,36005,USA,40.831714789,-73.904056984,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.bronxcare.org,7000001H,NOT AVAILABLE,36,NON-PROFIT,-999,164,NOT AVAILABLE,N,BRONX-LEBANON HOSPITAL CENTER - FUL,BronxCare Health System
-8237470.0668,4959309.4366,7402,16811219,MAIMONIDES MEDICAL CENTER,4802 10TH AVE,BROOKLYN,NY,11219,NOT AVAILABLE,(718) 283-6000,GENERAL ACUTE CARE,OPEN,679,KINGS,36047,USA,40.6394788750001,-73.998452635,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.maimonidesmed.org/,7001020H,NOT AVAILABLE,36,NON-PROFIT,-999,679,"LEVEL I, LEVEL II PEDIATRIC",N,MAIMONIDES MEDICAL CENTER,INDEPENDENT
-8231485.3256,4961823.836,327,16411203,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVE,BROOKLYN,NY,11203,NOT AVAILABLE,(718) 245-2306,GENERAL ACUTE CARE,OPEN,639,KINGS,36047,USA,40.656616381,-73.94469079,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/01/03 00:00:00,http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml,7001016H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,639,LEVEL I,N,KINGS COUNTY HOSPITAL CENTER,NYC Health + Hospitals
-8235303.5542,4963459.4139,331,17011215,NEW YORK METHODIST HOSPITAL,506 6TH ST,BROOKLYN,NY,11215,NOT AVAILABLE,(718) 780-3000,GENERAL ACUTE CARE,OPEN,591,KINGS,36047,USA,40.6677617010001,-73.978990521,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.nym.org,7001021H,NOT AVAILABLE,36,NON-PROFIT,-999,591,LEVEL II,N,NEW YORK METHODIST HOSPITAL,NewYork-Presbyterian
-8227908.1564,4961626.1411,324,16111212,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,NOT AVAILABLE,(718) 240-5000,GENERAL ACUTE CARE,OPEN,530,KINGS,36047,USA,40.655269102,-73.9125565319999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.brookdalehospital.org,7001002H,NOT AVAILABLE,36,NON-PROFIT,-999,530,LEVEL II,N,BROOKDALE HOSPITAL MEDICAL CENTER,INDEPENDENT
-8235180.3507,4966807.7568,325,16211201,BROOKLYN HOSPITAL CENTER,121 DEKALB AVE,BROOKLYN,NY,11201,NOT AVAILABLE,(718) 250-8000,GENERAL ACUTE CARE,OPEN,464,KINGS,36047,USA,40.6905725080001,-73.9778837649999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.tbh.org,7001003H,NOT AVAILABLE,36,NON-PROFIT,-999,464,NOT AVAILABLE,N,BROOKLYN HOSPITAL CENTER,INDEPENDENT
-8239970.5316,4960348.8806,329,16911209,NYU LUTHERAN MEDICAL CENTER,150 55TH ST,BROOKLYN,NY,11209,NOT AVAILABLE,(718) 630-7300,GENERAL ACUTE CARE,OPEN,396,KINGS,36047,USA,40.6465639940001,-74.020914692,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.lutheranhealthcare.org/main/lutheranmedicalcenter.aspx,7001019H,NOT AVAILABLE,36,NON-PROFIT,-999,396,LEVEL I,N,NYU LUTHERAN MEDICAL CENTER,NYU Langone Health
-8231227.9765,4968121.842,2899,20211206,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,NOT AVAILABLE,(718) 388-5889,GENERAL ACUTE CARE,OPEN,388,KINGS,36047,USA,40.6995226670001,-73.942378984,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.nyc.gov/html/hhc,7001045H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,388,NOT AVAILABLE,Y,WOODHULL MEDICAL AND MENTAL HEALTH ,NYC Health + Hospitals
-8233783.1429,4951381.3701,328,16611235,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,NOT AVAILABLE,(718) 616-3000,GENERAL ACUTE CARE,OPEN,371,KINGS,36047,USA,40.5854143810001,-73.9653324339999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/01/02 00:00:00,http://www.nyc.gov/html/hhc/html/facilities/coneyisland.shtml,7001009H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,371,NOT AVAILABLE,N,CONEY ISLAND HOSPITAL,NYC Health + Hospitals
-8231433.7918,4961563.4527,2926,119111203,UNIVERSITY HOSPITAL OF BROOKLYN,445 LENOX ROAD,BROOKLYN,NY,11203,NOT AVAILABLE,(718) 270-2401,GENERAL ACUTE CARE,OPEN,342,KINGS,36047,USA,40.6548418790001,-73.944227854,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.downstate.edu/uhb/,7001037H,NOT AVAILABLE,36,GOVERNMENT - STATE,-999,342,NOT AVAILABLE,N,UNIVERSITY HOSPITAL OF BROOKLYN,SUNY Downstate Health Sciences University
-8228487.8153,4968774.0014,6173,17311237,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM ST,BROOKLYN,NY,11237,NOT AVAILABLE,(718) 963-7272,GENERAL ACUTE CARE,OPEN,324,KINGS,36047,USA,40.7039640410001,-73.9177636969999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.wyckoffhospital.org,7001035H,NOT AVAILABLE,36,NON-PROFIT,-999,324,NOT AVAILABLE,N,WYCKOFF HEIGHTS MEDICAL CENTER,INDEPENDENT
-8230244.6162,4962238.243,2902,114611203,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,NOT AVAILABLE,(718) 604-5000,GENERAL ACUTE CARE,OPEN,303,KINGS,36047,USA,40.6594404510001,-73.933545308,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,http://www.kingsbrook.org/,7001033H,NOT AVAILABLE,36,NON-PROFIT,-999,303,NOT AVAILABLE,N,KINGSBROOK JEWISH MEDICAL CENTER,INDEPENDENT
-8230670.1936,4964996.3346,3306,17111213,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVE,BROOKLYN,NY,11213,NOT AVAILABLE,(718) 613-4000,GENERAL ACUTE CARE,OPEN,287,KINGS,36047,USA,40.6782330440001,-73.937368335,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2019/04/16 00:00:00,http://www.interfaithmedical.com,7001046H,NOT AVAILABLE,36,NON-PROFIT,-999,287,NOT AVAILABLE,N,INTERFAITH MEDICAL CENTER,INDEPENDENT
-8231286.1138,4956279.2582,346,115411234,MOUNT SINAI BETH ISRAEL BROOKLYN,3201 KINGS HIGHWAY,BROOKLYN,NY,11234,NOT AVAILABLE,(718) 951-3000,GENERAL ACUTE CARE,OPEN,212,KINGS,36047,USA,40.6188201030001,-73.94290124,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,http://www.bethisraelny.org/brooklyn/,7001041H,NOT AVAILABLE,36,NON-PROFIT,-999,212,NOT AVAILABLE,N,MOUNT SINAI BETH ISRAEL BROOKLYN,Mount Sinai Health System
-8231932.8291,4955538.8094,6303,16511229,NEW YORK COMMUNITY HOSPITAL,2525 KINGS HIGHWAY,BROOKLYN,NY,11229,NOT AVAILABLE,(718) 692-5300,GENERAL ACUTE CARE,OPEN,134,KINGS,36047,USA,40.6137709920001,-73.948710782,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.nych.com,7001008H,NOT AVAILABLE,36,NON-PROFIT,-999,134,NOT AVAILABLE,N,NEW YORK COMMUNITY HOSPITAL,INDEPENDENT
-8204425.8009,4979598.1329,267,6411030,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DR,MANHASSET,NY,11030,NOT AVAILABLE,(516) 562-0100,GENERAL ACUTE CARE,OPEN,764,NASSAU,36059,USA,40.7776359200001,-73.701610944,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.northshorelij.com/hospitals/location/north-shore-university-hospital,2951001H,NOT AVAILABLE,36,NON-PROFIT,-999,764,LEVEL I,Y,NORTH SHORE UNIVERSITY HOSPITAL,Northwell Health
-8197902.1955,4974169.5086,369,120511501,NYU WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NOT AVAILABLE,(516) 663-0333,GENERAL ACUTE CARE,OPEN,591,NASSAU,36059,USA,40.7406974780001,-73.6430083989999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.winthrop.org/,2908000H,NOT AVAILABLE,36,GOVERNMENT - STATE,-999,591,LEVEL I,N,NYU WINTHROP-UNIVERSITY HOSPITAL,NYU Langone Health
-8187964.6618,4972047.8782,269,6511554,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TPKE,EAST MEADOW,NY,11554,NOT AVAILABLE,(516) 572-0123,GENERAL ACUTE CARE,OPEN,530,NASSAU,36059,USA,40.7262555130001,-73.553738015,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.nuhealth.net,2950002H,NOT AVAILABLE,36,GOVERNMENT - DISTRICT/AUTHORITY,-999,530,LEVEL I,Y,NASSAU UNIVERSITY MEDICAL CENTER,Nassau Health Care Corporation
-8196547.5529,4960999.4403,270,7011510,SOUTH NASSAU COMMUNITIES HOSPITAL,1 HEALTHY WAY,OCEANSIDE,NY,11510,NOT AVAILABLE,(516) 632-3000,GENERAL ACUTE CARE,OPEN,455,NASSAU,36059,USA,40.6509979950001,-73.630839438,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.southnassau.org,2950001H,NOT AVAILABLE,36,NON-PROFIT,-999,455,LEVEL II,N,SOUTH NASSAU COMMUNITIES HOSPITAL,Mount Sinai Health System
